id;Date;Open;High;Low;Close;Adj_Close;Volume
1281;25.06.2007;2.821429;2.854286;2.794286;2.802857;2.802857;6802600
1282;26.06.2007;2.851429;2.855714;2.785714;2.788571;2.788571;5786200
1283;27.06.2007;2.791429;3.037143;2.787143;2.968571;2.968571;21091700
1284;28.06.2007;2.955714;2.955714;2.825714;2.835714;2.835714;14725200
1285;29.06.2007;2.867143;2.881429;2.765714;2.770000;2.770000;12084100
1286;02.07.2007;2.785714;2.835714;2.767143;2.782857;2.782857;7970200
1287;03.07.2007;2.801429;2.855714;2.798571;2.824286;2.824286;3085600
1288;05.07.2007;2.850000;2.871429;2.824286;2.831429;2.831429;6480600
1289;06.07.2007;2.834286;2.925714;2.834286;2.912857;2.912857;8071000
1290;09.07.2007;2.928571;2.957143;2.901429;2.918571;2.918571;8169000
1291;10.07.2007;2.915714;2.977143;2.857143;2.874286;2.874286;8853600
1292;11.07.2007;2.891429;2.891429;2.842857;2.858571;2.858571;5497100
1293;12.07.2007;2.858571;2.911429;2.841429;2.872857;2.872857;5622400
1294;13.07.2007;2.860000;2.921429;2.860000;2.877143;2.877143;4643800
1295;16.07.2007;2.891429;2.901429;2.857143;2.865714;2.865714;5152700
1296;17.07.2007;2.861429;2.900000;2.858571;2.887143;2.887143;4524800
1297;18.07.2007;2.891429;2.891429;2.821429;2.874286;2.874286;6498100
1298;19.07.2007;2.857143;2.890000;2.821429;2.848571;2.848571;5192600
1299;20.07.2007;2.848571;2.848571;2.800000;2.804286;2.804286;9616600
1300;23.07.2007;2.577143;2.584286;2.452857;2.467143;2.467143;53727800
1301;24.07.2007;2.368571;2.394286;2.231429;2.295714;2.295714;54085500
1302;25.07.2007;2.378571;2.398571;2.284286;2.385714;2.385714;37554300
1303;26.07.2007;2.384286;2.561429;2.321429;2.548571;2.548571;33457200
1304;27.07.2007;2.551429;2.557143;2.412857;2.442857;2.442857;20304900
1305;30.07.2007;2.444286;2.535714;2.427143;2.484286;2.484286;13633200
1306;31.07.2007;2.528571;2.528571;2.442857;2.461429;2.461429;9654400
1307;01.08.2007;2.464286;2.498571;2.397143;2.451429;2.451429;14216300
1308;02.08.2007;2.450000;2.477143;2.421429;2.444286;2.444286;9258900
1309;03.08.2007;2.457143;2.468571;2.362857;2.367143;2.367143;8661800
